Id,Word,Hiragana,Romaji,Definitions,StudyOrder
a758526e-18b7-4281-9510-6b39679b8945,おいでになる,おいでになる,oideninaru,to be,1
90ec12e3-eea3-4032-b769-a72e31bce451,おっしゃる,おっしゃる,ossharu,"to say, to speak, to tell",2
561b24d8-b65e-48f5-95cc-fd627d76586a,かまう,かまう,kamau,"to mind, to care about, to be concerned about",3
d377dbc6-6f90-4a83-83d0-86bebb922b58,くれる,くれる,kureru,"to give, to do for",4
03738ab4-cb79-4deb-abab-642f34cefc09,ごらんになる,,goranninaru,"to see, to look, to watch",5
aed8b3b0-a5bf-4d59-964d-a54a14e24384,びっくりする,びっくりする,bikkurisuru,to be surprised,6
bce6370e-ad55-434a-bb2b-3f1ba2d59833,上がる,あがる,agaru,"to rise, to go up",7
5439ed13-c3cb-434d-ba6f-29be5ddf274f,下りる,おりる,oriru,"to get down, to go, come down",8
d0856b33-28ee-452a-89f1-04512cc845a5,似る,にる,niru,"to resemble, to be similar",9
d8a981d5-4939-4dea-82f7-7870253e7e66,向かう,むかう,mukau,"to face, to go towards",10
988fcc2a-6c1d-45a6-bffb-134f0decac37,喜ぶ,よろこぶ,yorokobu,"to rejoice, to be delighted, to be glad",11
6a3f3dc3-ed27-45f2-88d2-ad7d404e73d1,回る、回す,まわる、まわす,mawaru、mawasu,"to go around, to revolve",12
bf523611-5eae-45f6-af75-cdf4c6c88893,壊れる,こわれる,kowareru,"to be broken, to break",13
be47712d-157b-4b14-955f-e0916a476d26,変わる,かわる,kawaru,"to change, to be transformed, to vary",14
9dbf92b7-48b5-42fd-835d-1809c58d551f,大体,だいたい,daitai,"approximately, in most cases, in general, to begin with",15
db57504f-76da-4d94-8dc0-40cecb0345e6,始める,はじめる,hajimeru,"to start, to begin",16
6073e4c5-2c82-4e2e-88c1-388a4446cb96,嬉しい,うれしい,ureshii,"to be happy, to be glad",17
1fb8e1f7-5279-4225-abb5-6fd25a7e4c44,役に立つ,やくにたつ,yakunitatsu,"to be helpful, to be useful",18
1914937e-abe5-4efe-81a9-22cf20cacbce,急ぐ,いそぐ,isogu,"to hurry, to be in a hurry, to rush",19
9b398767-b5a6-4681-a430-bc8b7ed1649c,戻る,もどる,modoru,"to return, to come back",20
451ba0f9-303d-4737-8f57-8d385b653485,折る,おる,oru,"to snap, to break, to bend",21
364eb5da-fe91-4d91-a19b-f24f6e7e486a,折れる,おれる,oreru,"to break, to be folded, to give in, to turn",22
932e3e80-a23c-46d1-adaf-2442531dfbc0,探す,さがす,sagasu,"to search, to seek, to look for",23
33343dc5-3cfc-42ab-86fc-b722c57badeb,暮れる,くれる,kureru,"to get dark, to come to an end",24
df85c76c-d071-4c30-a107-e009eaf7dfed,残る,のこる,nokoru,"to remain, to be left",25
b4075d33-a575-425f-9046-4f717b5ef645,汚れる,よごれる,yogoreru,to become dirty,26
149bf253-3ff1-49a9-a984-19eb292d2b64,決まる,きまる,kimaru,"to be set, fixed",27
6411d2a8-76eb-458e-946a-d2aa9e7cb112,点く,つく,tsuku,"to be started, to be switched on",28
0af6cb0c-524d-482c-b642-1bd0d2bcc65d,焼ける,やける,yakeru,"to burn, to be roasted",29
f5a29e7c-1e9c-48d5-adf2-1cd094c27c37,申し上げる,もうしあげる,moushiageru,"to say, to tell",30
56ee2303-fe89-47eb-b73f-04722aac0054,申す,もうす,mousu,"to say, to be called",31
03709498-db2c-4e9f-bf68-85cb7f01b5cc,直る,なおる,naoru,to be fixed,32
3bb06341-a660-446a-9afe-0c887dbf8ebe,空く,あく,aku,"to open, to become empty",33
e03dc02d-6537-4f56-adaa-33017269742b,空く,すく,suku,"to be empty, to be less crowded",34
21457bd5-5ece-40f5-be4d-b4bbe80a1d6d,続く,つづく,tsuzuku,to be continued,35
46b673c8-7118-4891-8ee7-9582f969bdb6,聞こえる,きこえる,kikoeru,"to be heard, to be audible",36
7fabc263-59ff-4008-a933-fd2e877de1a4,褒める,ほめる,homeru,"to praise, to say nice things",37
6f8eb559-2241-470f-86fc-a1dc75244d64,見える,みえる,mieru,"to be visible,",38
6000130b-3ad4-4645-9fe2-8224c5288ad6,見つかる,みつかる,mitsukaru,"to be found, to be discovered",39
2cdee91c-3726-455b-b7d1-fa2a656b23ab,負ける,まける,makeru,"to lose, to be defeated",40
eec4a22e-d6cf-4ec9-8815-752112284a35,足りる,たりる,tariru,"to be sufficient, to be enough",41
e60fbf1f-a069-43e5-ab6f-f98048d528bf,込む,こむ,komu,to be crowded,42
6bb3f049-767d-4c29-9de4-7dd23633c439,逃げる,にげる,nigeru,"to escape, to run away",43
01634d3c-f357-43ca-bb50-34999b0e1f98,通う,かよう,kayou,"to go back and forth, to commute",44
57f7b6ac-27ea-4722-a9d4-f6d1041d67d7,通る,とおる,tooru,"to pass, to go through",45
bf4117b9-0d2f-493a-8c9b-a15c2ace242b,遅れる,おくれる,okureru,to become late,46
1fb6d175-1442-4bf1-b79c-ec9572984564,過ぎる,すぎる,sugiru,"to exceed, to go beyond",47
a1a74196-af2e-4a58-ad3f-e0668cfa72bd,間に合う,まにあう,maniau,to be in time for,48
fb59b13d-4ae2-4559-afd7-2e73ea2501ba,間違える,まちがえる,machigaeru,to make a mistake,49
98929fe4-fbf6-429e-b843-a3b6c5e7fc18,騒ぐ,さわぐ,sawagu,"to make noise, to clamor",50
3567ea58-4a29-4c37-acc6-c4d752b32930,驚く,おどろく,odoroku,"to be surprised, to be astonished",51
abeb6b5e-5aff-403f-b3e1-143b1f567910,～ございます,～ございます,gozaimasu,"to be, to exist",52
4771e414-4eef-4d44-878d-437bd84add7d,～にくい,～にくい,nikui,difficult to do,53
7201b096-b6cc-48a0-b604-88722e042cee,～やすい,～やすい,yasui,easy to do,54
8503cc80-8374-4964-b42c-5a2c572992f8,すっと,すっと,sutto,"straight, quickly",55
65c3cda1-04c8-404a-9927-156100933a50,どんどん,どんどん,dondon,"quickly and steadily, at a rapid pace",56
93492c1c-ade7-456d-b047-745454dc9047,もうすぐ,もうすぐ,mousugu,"very soon, in a few moments, days",57
bc4c03d8-1ee5-47b8-9aab-0438392d035a,一生懸命,いっしょうけんめい,isshoukenmei,"very hard, with utmost effort",58
2b2f6316-dbd0-49a3-980b-ddaa5fe70d50,中々,なかなか,nakanaka,"very, considerably, quite",59
d7a0b5c7-00da-4824-8132-816d3a35ada6,大抵,たいてい,taitei,"generally, usually",60
931f72f0-f427-4f5d-b1a9-a21b449f3d0f,皆,みな,mina,everyone,61
2fab8c6b-b5c1-4746-9792-52ed7c44aed5,非常に,ひじょうに,hijouni,"extremely, very",62
cbee9533-abb7-45a3-a262-e6f6a36a60c6,～おき,～おき,oki,after every,63
6d2e7a8d-642a-4a8b-8eff-43c55dca41a4,～ばかり,～ばかり,bakari,"just did, only",64
2697e4af-3ad2-41d6-a4e0-f5a4d3d5a952,お金持ち,かねもち; おかねもち,kanemochi; okanemochi,rich person,65
cb0d5a38-450c-492f-bbb6-8134a7313d7f,中学校,ちゅうがっこう,chuugakkou,junior high school pupil,66
21b416c3-bb61-47e7-acd7-f3624801ebd6,事,こと,koto,"thing, matter, fact",67
5d2ccbca-f9cc-4c1c-bde1-c5ea9f414e9f,代わり,かわり,kawari,"substitute, replacement",68
7d6a1867-ff29-4737-9883-d3b0abb29dc7,会場,かいじょう,kaijou,"venue, meeting place",69
